id	c_order	connections	languages	e_name	e_degree	e_major	e_period	e_grade	e_detail	e_activity
300029	1	"431"	""	"The Robert Gordon University"	"BA (Hons)"	"Management"	"1999-2002"	""	""	""
300029	2	"431"	""	"Aberdeen College"	"HNC"	"Management"	"1997-1999"	""	""	""
300029	3	"431"	""	"Aberdeen College"	"HNC"	"Mechanical Engineering"	"1987-1991"	""	""	""
300039	1	"382"	""	"The Robert Gordon University"	"BSc"	"Phsical Sciences"	"1981-1984"	""	""	""
300051	1	"88"	""	"Heriot-Watt University"	"BEng"	"Mechanical Engineering"	"1992-1996"	""	""	""
300123	1	"78"	""	"University of Central Florida"	"Master's degree"	"Statistics"	"2011-2013"	""	""	""
300123	2	"78"	""	"University of Central Florida"	"Bachelor of Arts (B.A.)"	"Economics"	"2007-2010"	""	""	""
300187	1	"167"	""	"The Robert Gordon University"	"BA (Hons)"	"Management"	"2003-2006"	""	""	""
300230	1	"249"	""	"Peterhead Academy"	""	""	"1959-1963"	""	""	""
300230	2	"249"	""	"Peterhead Academy"	""	""	"1959-1963"	""	""	""
300239	1	"79"	""	"Aberdeen College"	"Diploma in Management with Marketing"	"Business Management Marketing and Related Support Services"	"2003-2003"	""	""	""
300239	2	"79"	""	"Aberdeen College"	"HND Computing"	"Computer Technology/Computer Systems Technology"	"1993-1994"	""	""	""
300239	3	"79"	""	"Aberdeen College"	"HNC Computing"	"Computer Technology/Computer Systems Technology"	"1992-1993"	""	""	""
300239	4	"79"	""	"Linksfield Academy"	""	""	"1987-1992"	""	""	""
300297	1	"37"	""	"Westville Boys' High School South Africa"	""	""	"1971-1976"	""	""	""
300454	1	"293"	""	"Hazelhead Academy"	""	""	"1991-1995"	""	""	""
300487	1	"269"	""	"Aberdeen College"	"HNC"	"Mechanical Engineering"	"1989-1993"	""	""	""
300487	2	"269"	""	"Aberdeen College"	"HNC"	"Mechanical Engineering"	"1989-1993"	""	""	""
300498	1	"2"	""	"Lebanese American University"	""	"Communication Arts"	"2012-2013"	""	""	""
300501	1	"195"	""	"The Robert Gordon University"	"HNC"	"Architectural Technology"	""	""	""	""
300515	1	"500+"	""	"The Open University"	"BA"	"Business Studies"	"2005-2007"	""	""	""
