uni_name,qs_id
AALBORG UNIVERSITY,QS00001
AALTO UNIVERSITY,QS00002
AARHUS UNIVERSITY,QS00003
ABERYSTWYTH UNIVERSITY,QS00004
ABO AKADEMI UNIVERSITY,QS00005
ABU DHABI UNIVERSITY,QS00006
ADAMSON UNIVERSITY,QS00007
AIN SHAMS UNIVERSITY,QS00008
AIRLANGGA UNIVERSITY,QS00009
AJOU UNIVERSITY,QS00010
AL AZHAR UNIVERSITY,QS00011
AL-FARABI KAZAKH NATIONAL UNIVERSITY,QS00012
AL-IMAM MOHAMED IBN SAUD ISLAMIC UNIVERSITY,QS00013
ALEXANDRIA UNIVERSITY,QS00014
ALEXANDRU IOAN CUZA UNIVERSITY,QS00015
ALPEN-ADRIA-UNIVERSITAT KLAGENFURT,QS00016
ALTAI STATE UNIVERSITY,QS00017
AMERICAN UNIVERSITY IN CAIRO,QS00018
AMERICAN UNIVERSITY OF BEIRUT (AUB),QS00019
AMERICAN UNIVERSITY OF SHARJAH (AUS),QS00020
AMERICAN UNIVERSITY,QS00021
AOYAMA GAKUIN UNIVERSITY,QS00022
ARISTOTLE UNIVERSITY OF THESSALONIKI,QS00023
ARIZONA STATE UNIVERSITY,QS00024
ASTON UNIVERSITY,QS00025
ATENEO DE MANILA UNIVERSITY,QS00026
ATHENS UNIVERSITY OF ECONOMY AND BUSINESS,QS00027
AUBURN UNIVERSITY,QS00028
AUCKLAND UNIVERSITY OF TECHNOLOGY,QS00029
AUSTRALIAN CATHOLIC UNIVERSITY,QS00030
AUSTRALIAN NATIONAL UNIVERSITY,QS00031
BABES-BOLYAI UNIVERSITY,QS00032
BAKU STATE UNIVERSITY,QS00033
BANDUNG INSTITUTE OF TECHNOLOGY (ITB),QS00034
BANGOR UNIVERSITY,QS00035
BAR-ILAN UNIVERSITY,QS00036
BASKENT UNIVERSITESI,QS00037
BAUMAN MOSCOW STATE TECHNICAL UNIVERSITY,QS00038
BAYLOR UNIVERSITY,QS00039
BEIHANG UNIVERSITY (FORMER BUAA),QS00040
BEIJING INSTITUTE OF TECHNOLOGY,QS00041
BEIJING NORMAL UNIVERSITY,QS00042
BELARUSIAN NATIONAL TECHNICAL UNIVERSITY,QS00043
BELARUS STATE UNIVERSITY,QS00044
BEM BORDEAUX MANAGEMENT SCHOOL,QS00045
BEN GURION UNIVERSITY OF THE NEGEV,QS00046
BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,QS00047
BILKENT UNIVERSITY,QS00048
BINGHAMTON UNIVERSITY SUNY,QS00049
BIRKBECK COLLEGE UNIVERSITY OF LONDON,QS00050
BIRMINGHAM INTERNATIONAL COLLEGE,QS00051
BOGAZICI UNIVERSITY,QS00052
BOGOR AGRICULTURAL UNIVERSITY,QS00053
BOND UNIVERSITYBOND UNIVERSITY,QS00054
BOSTON COLLEGE,QS00055
BOSTON UNIVERSITY,QS00056
BRANDEIS UNIVERSITY,QS00057
BRIGHAM YOUNG UNIVERSITY,QS00058
BROWN UNIVERSITY,QS00059
BRUNEL UNIVERSITY,QS00060
CAIRO UNIVERSITY,QS00061
CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH),QS00062
CARDIFF UNIVERSITY,QS00063
CARLETON UNIVERSITY,QS00064
CARNEGIE MELLON UNIVERSITY,QS00065
CASE WESTERN RESERVE UNIVERSITY,QS00066
KU LEUVEN,QS00067
CENTRAL EUROPEAN UNIVERSITY,QS00068
CENTRAL SOUTH UNIVERSITY,QS00069
CHALMERS UNIVERSITY OF TECHNOLOGY,QS00070
CHANG GUNG UNIVERSITY,QS00071
CHAOYANG UNIVERSITY OF TECHNOLOGY,QS00072
CHARLES DARWIN UNIVERSITY,QS00073
CHARLES UNIVERSITY,QS00074
CHIANG MAI UNIVERSITY,QS00075
CHIBA UNIVERSITY,QS00076
CHINA AGRICULTURAL UNIVERSITY,QS00077
THE CHINESE UNIVERSITY OF HONG KONG,QS00078
CHONBUK NATIONAL UNIVERSITY,QS00079
CHONNAM NATIONAL UNIVERSITY,QS00080
CHULALONGKORN UNIVERSITY,QS00081
CHUNG-ANG UNIVERSITY,QS00082
CHUNGNAM NATIONAL UNIVERSITY,QS00083
CITY UNIVERSITY LONDON,QS00084
CITY UNIVERSITY OF HONG KONG,QS00085
CITY UNIVERSITY OF NEW YORK,QS00086
CLARK UNIVERSITY,QS00087
CLARKSON UNIVERSITY,QS00088
CLEMSON UNIVERSITY,QS00089
COLLEGE OF WILLIAM & MARY,QS00090
COLORADO STATE UNIVERSITY,QS00091
TEACHERS COLLEGE AT COLUMBIA UNIVERSITY,QS00092
COLUMBIA UNIVERSITY,QS00093
CONCORDIA UNIVERSITY,QS00094
CORNELL UNIVERSITY,QS00095
CORVINUS UNIVERSITY OF BUDAPEST,QS00096
COVENTRY UNIVERSITY,QS00097
CUKUROVA UNIVERSITY,QS00098
CURTIN UNIVERSITY,QS00099
CZECH TECHNICAL UNIVERSITY IN PRAGUE,QS00100
DAEJEON UNIVERSITY,QS00101
DALHOUSIE UNIVERSITY,QS00102
DAMASCUS UNIVERSITY,QS00103
DARTMOUTH COLLEGE,QS00104
DE LA SALLE UNIVERSITY,QS00105
DEAKIN UNIVERSITY,QS00106
DELFT UNIVERSITY OF TECHNOLOGY,QS00107
DIPONEGORO UNIVERSITY,QS00108
DONETSK NATIONAL UNIVERSITY,QS00109
DONGGUK UNIVERSITY,QS00110
DOSHISHA UNIVERSITY,QS00111
DREXEL UNIVERSITY,QS00112
DUBLIN CITY UNIVERSITY,QS00113
DUBLIN INSTITUTE OF TECHNOLOGY,QS00114
DUKE UNIVERSITY,QS00115
DUQUESNE UNIVERSITY,QS00116
DURHAM UNIVERSITY,QS00117
E.A.BUKETOV KARAGANDA STATE UNIVERSITY,QS00118
EASTERN UNIVERSITY OF SRI LANKA,QS00119
ECOLE DES PONTS PARISTECH,QS00120
ECOLE NORMALE SUPERIEURE DE CACHAN,QS00121
