uni_name,urap_id
AALBORG UNIVERSITY,URAP00001
AALTO UNIVERSITY,URAP00002
AARHUS UNIVERSITY,URAP00003
ABANT IZZET BAYSAL UNIVERSITY,URAP00004
ABERYSTWYTH UNIVERSITY,URAP00005
ABO AKADEMI UNIVERSITY,URAP00006
ACADEMY OF ECONOMIC STUDIES BUCHAREST,URAP00007
ACADIA UNIVERSITY,URAP00008
ACHARYA NAGARJUNA UNIVERSITY,URAP00009
ADAM MICKIEWICZ UNIVERSITY POZNAN,URAP00010
ADDIS ABABA UNIVERSITY,URAP00011
ADELPHI UNIVERSITY,URAP00012
ADIYAMAN UNIVERSITY,URAP00013
ADNAN MENDERES UNIVERSITY,URAP00014
AFYON KOCATEPE UNIVERSITY,URAP00015
AGH UNIVERSITY OF SCIENCE & TECHNOLOGY,URAP00016
AGRICULTURAL UNIVERSITY OF ATHENS,URAP00017
AGROPARISTECH INSTITUT DES SCIENCES ET INDUSTRIES DU VIVANT ET DE LENVIRONNEMENT,URAP00018
AHI EVRAN UNIVERSITY,URAP00019
AHMADU BELLO UNIVERSITY,URAP00020
AICHI GAKUIN UNIVERSITY,URAP00021
AICHI MEDICAL UNIVERSITY,URAP00022
AIN SHAMS UNIVERSITY,URAP00023
AIRLANGGA UNIVERSITY,URAP00024
AJOU UNIVERSITY,URAP00025
AKADEMIA MEDYCZNA W BIALYMSTOKU,URAP00026
AKADEMIA MEDYCZNA W GDANSKU,URAP00027
AKADEMIA ROLNICZA IM. HUGONA KOLLATAJA W KRAKOWIE,URAP00028
AKDENIZ UNIVERSITY,URAP00029
AKERSHUS UNIVERSITY COLLEGE,URAP00030
AKITA PREFECTURAL UNIVERSITY,URAP00031
AKITA UNIVERSITY,URAP00032
AKSARAY UNIVERSITY,URAP00033
AL-AZHAR UNIVERSITY,URAP00034
AL-BALQA APPLIED UNIVERSITY,URAP00035
ALABAMA A AND M UNIVERSITY,URAP00036
ALAGAPPA UNIVERSITY,URAP00037
ALBANY MEDICAL COLLEGE,URAP00038
ALEAZHAR UNIVERSITY,URAP00039
ALEBALQA APPLIED UNIVERSITY,URAP00040
ALEXANDRIA UNIVERSITY,URAP00041
ALEXANDRU IOAN CUZA UNIVERSITY,URAP00042
ALFRED UNIVERSITY,URAP00043
ALIGARH MUSLIM UNIVERSITY,URAP00044
ALPEN ADRIA UNIVERSITAT KLAGENFURT,URAP00045
AMERICAN UNIVERSITY OF BEIRUT (AUB),URAP00046
AMERICAN UNIVERSITY OF SHARJAH,URAP00047
AMERICAN UNIVERSITY WASHINGTON DC,URAP00048
AMHERST COLLEGE,URAP00049
AMIRKABIR UNIVERSITY OF TECHNOLOGY,URAP00050
AMTSSYGEHUSET I HERLEV,URAP00051
ANADOLU UNIVERSITY,URAP00052
ANDHRA UNIVERSITY,URAP00053
