Country,OrgName,InstNameEnglish,OrgGUID
Afghanistan,Alberoni University,,{0F550093-2AF2-11D7-B1CE-00055D086597}
Afghanistan,Badakhshan Institute of Higher Education,,{47AA82C3-1C39-11D8-B1CE-00055D086597}
Afghanistan,Balkh University,,{CAC6E2CD-78B5-11D2-BE74-0080C87A0525}
Afghanistan,Herat University,,{CAC6E2CE-78B5-11D2-BE74-0080C87A0525}
Afghanistan,Kabul Education University,,{0F5500A8-2AF2-11D7-B1CE-00055D086597}
Afghanistan,Kabul Medical University,,{CAC6E2CF-78B5-11D2-BE74-0080C87A0525}
Afghanistan,Kabul Polytechnic University,,{CAC6E2D1-78B5-11D2-BE74-0080C87A0525}
Afghanistan,Kandahar University,,{CAC6E2D3-78B5-11D2-BE74-0080C87A0525}
Afghanistan,Nangarhar University,,{CAC6E2D4-78B5-11D2-BE74-0080C87A0525}
Afghanistan,Pohantoon Kabul,Kabul University,{CAC6E2D0-78B5-11D2-BE74-0080C87A0525}
Afghanistan,Sheikh Zayed University (Khost),,{0F5500B2-2AF2-11D7-B1CE-00055D086597}
Afghanistan,Takhar University,,{DF2B274F-6559-4E23-A3C0-72FA7FDBC0E3}
Albania,Akademia e Arteve,Academy of Fine Arts,{CAC6E2D5-78B5-11D2-BE74-0080C87A0525}
Albania,UFO University,,{CF4141FB-B54F-4CD4-9352-ABA2E0070926}
Albania,Universiteti 'Eqrem Çabej' Gjirokastër,Eqrem Çabej University of Gjirokstra,{CAC6E2D8-78B5-11D2-BE74-0080C87A0525}
Albania,Universiteti 'Fan S. Noli' Korçë,Fan S. Noli  University  Korçë,{CAC6E2DA-78B5-11D2-BE74-0080C87A0525}
Albania,Universiteti 'Marin Barleti',Marin Barleti University,{6A2DF2D5-77A5-4E5C-9D06-10695B1C91EA}
Albania,Universiteti Aldent,Aldent University,{072C18B2-4B3D-485E-A869-5D78B2CC52C0}
Albania,Universiteti Aleksandër Moisiu i Durrësit,Aleksandër Moisiu University of Durres,{8203B31A-0AF3-44A8-98A3-C8BE59C2328D}
Albania,Universiteti Aleksandër Xhuvani,Aleksandër Xhuvani University of Elbasan,{CAC6E2D7-78B5-11D2-BE74-0080C87A0525}
Albania,Universiteti Bujqësor i Tiranës,Agricultural University of Tirana,{CAC6E2DC-78B5-11D2-BE74-0080C87A0525}
Albania,Universiteti Europian i Tiranës,European University in Tirana,{C74ED735-8890-4E9B-B352-574E9F99CF4F}
Albania,Universiteti i Shkodrës 'Luigj Gurakuqi',Luigj Gurakuqi University of Shkodra,{CAC6E2DB-78B5-11D2-BE74-0080C87A0525}
Albania,Universiteti i Sporteve të Tiranës,Sports University of Tirana,{CAC6E2D6-78B5-11D2-BE74-0080C87A0525}
Albania,Universiteti i Tiranës,University of Tirana,{CAC6E2DE-78B5-11D2-BE74-0080C87A0525}
Albania,Universiteti i Vlorës 'Ismail Qemali',University of Vlora 'Ismail Qemali',{CAC6E2D9-78B5-11D2-BE74-0080C87A0525}
Albania,Universiteti Justiniani I,Justiniani I University,{7430A3DB-27F7-474D-ABDD-64DC22F4152D}
Albania,Universiteti Luarasi,Luarasi University,{7AE52395-D3E3-4EFF-9F68-0607F4002331}
Albania,Universiteti POLIS - Shkolla nderkombetare e Arkitektures dhe politikave te zhvillimit urban,POLIS University International School of Architecture and Urban Development Policies,{734BF52A-1222-4548-834E-95F487F682C5}
Albania,Universiteti Politeknik i Tiranës,Polytechnic University of Tirana,{CAC6E2DD-78B5-11D2-BE74-0080C87A0525}
Albania,University of New York at Tirana,,{37B5E38C-6783-4CAC-B9F9-1D2289397B40}
Albania,Zoja e Këshillit të Mirë,Our Lady of Good Counsel University,{9B4D3BC6-1E5D-4267-88CF-A02E9D7AF322}
Algeria,Centre Universitaire Abbès Laghrour  Khenchela,Abbès Laghrour University Centre of Khenchela,{436893F7-128B-11D7-8933-000102094A46}
Algeria,Centre Universitaire Akli Mohand Oulhadj de Bouira,Akli Mohand Oulhad University Centre of Bouira,{5B033BF6-81B4-48E2-B356-8B56802AF65C}
Algeria,Centre Universitaire Amine Elokkal El Hadj Moussa Egakhamouk de Tamanrasset,Amine Elokkal El Hadj Moussa Egakhamouk University Centre of Tamanrasset,{4F919CB9-F8D9-4B2F-9AF6-A18534049277}
Algeria,Centre Universitaire d'Ain Témouchent,University Centre of Ain Témouchent,{169C39B3-1E70-476E-8480-DABDA8B08AFE}
Algeria,Centre Universitaire d'El Oued,University Centre of El Oued,{436893EB-128B-11D7-8933-000102094A46}
Algeria,Centre Universitaire d'El Tarf,University Centre of El Tarf,{436893F0-128B-11D7-8933-000102094A46}
Algeria,Centre Universitaire de Bordj Bou Arreridj,University Centre of Bordj Bou Arreridj,{E47AC223-129B-11D7-8933-000102094A46}
Algeria,Centre Universitaire de Ghardaia,University Centre of Ghardaia,{12F385DF-2596-479F-A505-A6E75E172F96}
Algeria,Centre Universitaire de Khemis Miliana,University Centre of Khemis Miliana,{46F8975C-135A-11D7-8933-000102094A46}
Algeria,Centre Universitaire de Mila,University Centre of Mila,{A2AC16D7-7440-432C-BC2C-1DF3A243D889}
Algeria,Centre universitaire de Rélizane,University Centre of Rélizane,{7EFE1285-AEEB-4188-8DCD-318C4F289C9E}
Algeria,Centre Universitaire de Souk-Ahras,University Centre of Souk-Ahras,{E47AC214-129B-11D7-8933-000102094A46}
Algeria,Centre Universitaire de Tissemsilt,University Centre of Tissemsilt,{B31BE57F-AF8C-4EEA-9D33-9C2743898008}
